embedding_model,precision_at_3,recall_at_3,recall_at_5,mrr,ndcg_at_5,avg_retrieval_seconds,params_millions,memory_mb_approx,index_disk_mb
all_minilm_l6_v2,0.25,0.3611111111111111,0.40277777777777773,0.41944444444444445,0.3388456338040673,0.014280999999992142,22.7,90.0,0.714
bge_small_en_v1_5,0.2222222222222222,0.3333333333333333,0.5,0.5375,0.42904557044690655,0.023752266666652606,33.4,130.0,0.714
e5_small_v2,0.25,0.3611111111111111,0.4861111111111111,0.4583333333333333,0.3844267094742762,0.021994416666653176,33.4,130.0,0.714
