embedding_model,label_accuracy,sufficient_evidence_rate,citation_hit_rate,avg_answer_similarity,avg_total_seconds,local_groundedness,local_answer_relevance,local_decision_quality
all_minilm_l6_v2,0.5833333333333334,0.6666666666666666,1.0,0.7413167605797449,5.4653067416666845,0.8000000000000002,0.9166666666666666,0.85
bge_small_en_v1_5,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.7415255059798559,5.607384241666826,0.7333333333333334,0.85,0.7999999999999999
e5_small_v2,0.5833333333333334,0.75,1.0,0.7670596241950989,5.279410024999682,0.7166666666666667,0.8250000000000001,0.75
nomic_embed_text,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.7175516784191132,7.544395258333149,0.7333333333333334,0.8416666666666667,0.7916666666666666
